x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-2975,3175,0,1.0416396,-0.061556287,0.008803452,0.015802948,0.003482609,0.016679281
-2925,3175,0,1.0266066,-0.057277028,-0.000315716,0.018305834,-0.003196306,0.018718127
-2875,3175,0,1.0094856,-0.059018139,-0.009595042,0.015921291,-0.009717572,0.016464066
-2825,3175,0,0.99420696,-0.066946,-0.016576877,0.009263414,-0.014040563,0.010529192
-2775,3175,0,0.98430669,-0.07929907,-0.019449748,3.05E-05,-0.014739199,0.002466263
-2725,3175,0,0.98202902,-0.092873424,-0.017465573,-0.009466535,-0.011377119,-0.005646372
-2675,3175,0,0.98767841,-0.10390939,-0.01114572,-0.016878869,-0.004695873,-0.011749508
-2625,3175,0,0.99958301,-0.10917674,-0.002028542,-0.020503301,0.003664682,-0.014460066
-2575,3175,0,1.0147002,-0.10675772,0.007777602,-0.019525029,0.011636037,-0.013314482
-2525,3175,0,1.0293095,-0.096552975,0.016070595,-0.014188979,0.017273795,-0.00887721
-2475,3175,0,1.0399266,-0.080272228,0.021067385,-0.005677328,0.019294485,-0.002497663
-2425,3175,0,1.0440663,-0.061002403,0.021760233,0.004202561,0.017364632,0.004143424
-2375,3175,0,1.0407171,-0.042506807,0.018069413,0.013434778,0.012080794,0.009525197
-2325,3175,0,1.0304605,-0.028433776,0.010788949,0.020213956,0.004694284,0.012644791
-2275,3175,0,1.0152617,-0.021606598,0.001362782,0.023286458,-0.003285611,0.013145514
-2225,3175,0,0.99802053,-0.023517419,-0.008439954,0.02215248,-0.010449937,0.011230124
-2175,3175,0,0.98199195,-0.034087688,-0.016877152,0.017105538,-0.015711628,0.007459276
-2125,3175,0,0.97018647,-0.05171147,-0.022543617,0.009118417,-0.018386245,0.002551182
-2075,3175,0,0.96484751,-0.073562771,-0.024589621,-0.000388945,-0.018189956,-0.002743291
-2025,3175,0,0.96709657,-0.096109062,-0.022816351,-0.009840187,-0.015224101,-0.007695851
-1975,3175,0,0.97679055,-0.11573322,-0.017647816,-0.017788939,-0.009971162,-0.011636958
-1925,3175,0,0.99260873,-0.12936105,-0.009998132,-0.023144197,-0.003269288,-0.014023392
-1875,3175,0,1.0123408,-0.13495234,-0.001072802,-0.025300048,0.003787933,-0.014535917
-1825,3175,0,1.0332966,-0.13177383,0.007851666,-0.024162127,0.010050727,-0.013165946
-1775,3175,0,1.0527437,-0.12041078,0.015626201,-0.020087523,0.014571888,-0.010221167
-1725,3175,0,1.0682864,-0.10253776,0.021377381,-0.013768974,0.016829405,-0.006231613
-1675,3175,0,1.0781269,-0.080533974,0.024587948,-0.006094901,0.016819071,-0.001785015
-1625,3175,0,1.0811961,-0.057051606,0.025112722,0.001988099,0.014974688,0.002627664
-1575,3175,0,1.0771744,-0.034624025,0.023138072,0.009596182,0.011955116,0.006683295
-1525,3175,0,1.0664455,-0.015382512,0.019103512,0.01600286,0.008400826,0.010190645
-1475,3175,0,1.0500048,-0.000891311,0.013604946,0.02070234,0.004764616,0.01299197
-1425,3175,0,1.0293393,0.007907608,0.007296253,0.02343788,0.001274962,0.014881032
-1375,3175,0,1.0062726,0.01067329,0.000805612,0.024193972,-0.001988624,0.015610487
-1325,3175,0,0.98277766,0.007592141,-0.005324978,0.023157101,-0.004979792,0.014989814
-1275,3175,0,0.96076012,-0.000736279,-0.010675464,0.020654554,-0.007608287,0.013021986
-1225,3175,0,0.94184166,-0.013427218,-0.014961305,0.017086422,-0.009740921,0.009985827
-1175,3175,0,0.92718947,-0.029446796,-0.018031355,0.012864796,-0.01126161,0.006400519
-1125,3175,0,0.91741848,-0.047732588,-0.0198557,0.008369015,-0.012135113,0.002871173
-1075,3175,0,0.91259944,-0.06727916,-0.020507071,0.003919881,-0.012426268,-0.000111483
-1025,3175,0,0.91235673,-0.087180562,-0.02013734,-0.000231115,-0.012259644,-0.002325048
