x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-3275,3025,0,1.0190673,-0.020279747,0.006172995,-0.007140901,-0.004347778,-0.009740945
-3225,3025,0,1.0264924,-0.019874969,0.0087948,-0.003771602,-0.000247889,-0.008946454
-3175,3025,0,1.031804,-0.016564991,0.009688414,0.000342853,0.003429376,-0.006410894
-3125,3025,0,1.0340064,-0.011379544,0.008733829,0.004390325,0.005946293,-0.002494457
-3075,3025,0,1.0326488,-0.005662497,0.006169783,0.007620219,0.006796428,0.002155801
-3025,3025,0,1.0278908,-0.000808643,0.00251734,0.009479685,0.00579988,0.006733608
-2975,3025,0,1.0204529,0.001995256,-0.001541808,0.009696814,0.003134145,0.010428081
-2925,3025,0,1.0114729,0.001968399,-0.005303085,0.008301382,-0.000702858,0.012574214
-2875,3025,0,1.0023042,-0.00114881,-0.008164479,0.00558886,-0.004987086,0.012772483
-2825,3025,0,0.9942919,-0.00707301,-0.009717432,0.002042488,-0.008901335,0.010958308
-2775,3025,0,0.98857176,-0.015049533,-0.009791983,-0.001766025,-0.011682366,0.007411434
-2725,3025,0,0.98592091,-0.023986951,-0.008450585,-0.005272707,-0.01274819,0.002700391
-2675,3025,0,0.9866423,-0.032632113,-0.005967339,-0.008003363,-0.011816597,-0.002396574
-2625,3025,0,0.99053633,-0.039770894,-0.002741294,-0.009651346,-0.008958954,-0.00707494
-2575,3025,0,0.99701571,-0.044387549,0.000780095,-0.010069979,-0.004547961,-0.010612864
-2525,3025,0,1.0051615,-0.04579588,0.004157699,-0.009279538,0.000786199,-0.0124889
-2475,3025,0,1.0138733,-0.043711267,0.00701848,-0.007438339,0.006273063,-0.012460966
-2425,3025,0,1.0220132,-0.038269531,0.009088116,-0.004802695,0.011132609,-0.010588789
-2375,3025,0,1.0285482,-0.029992931,0.010204319,-0.001683449,0.014700012,-0.007201213
-2325,3025,0,1.0326567,-0.019712877,0.010312859,0.001594078,0.016519843,-0.002822131
-2275,3025,0,1.0338093,-0.008469394,0.009454126,0.004722751,0.016400024,0.001931215
-2225,3025,0,1.0318011,0.002609551,0.007743209,0.007437364,0.014413702,0.006449982
-2175,3025,0,1.0267528,0.012421705,0.005351101,0.009529178,0.010862431,0.010218961
-2125,3025,0,1.0190723,0.019996196,0.002485469,0.010853969,0.006207526,0.012871902
-2075,3025,0,1.0094014,0.024580732,-0.000625618,0.011334499,0.000991086,0.014212733
-2025,3025,0,0.9985379,0.025696985,-0.003749135,0.01095843,-0.004240267,0.014204885
-1975,3025,0,0.98736346,0.02316964,-0.006661856,0.009773412,-0.008996265,0.01294318
-1925,3025,0,0.9767645,0.01712852,-0.00916466,0.007878993,-0.012883849,0.010615306
-1875,3025,0,0.96757096,0.007979708,-0.011095564,0.005416201,-0.01562852,0.007465353
