Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
156,9,-1.35E+02,-1.35E+02,170.239,-1.52E+02,289.858,1.74E+01
159,9,-1.37E+02,-1.38E+02,195.372,-1.44E+02,175.883,1.73E+01
162,9,-1.26E+02,-1.26E+02,205.532,-1.45E+02,232.218,2.55E+01
165,9,-1.34E+02,-1.34E+02,346.111,-1.58E+02,300.186,2.63E+01
168,9,-1.45E+02,-1.46E+02,31.752,-1.54E+02,47.914,2.01E+01
171,9,-1.27E+02,-1.27E+02,253.794,-1.41E+02,265.737,2.78E+01
174,9,-1.28E+02,-1.28E+02,351.709,-1.50E+02,47.856,2.36E+01
177,9,-1.19E+02,-1.19E+02,203.484,-1.36E+02,248.916,2.00E+01
180,9,-1.11E+02,-1.11E+02,224.544,-1.27E+02,224.544,4.00E+01
0,12,-6.46E+01,-6.48E+01,73.57,-7.82E+01,253.57,4.00E+01
3,12,-7.60E+01,-7.62E+01,58.972,-8.98E+01,239.303,4.00E+01
6,12,-8.32E+01,-8.34E+01,215.532,-9.70E+01,35.216,4.00E+01
9,12,-8.61E+01,-8.63E+01,97.716,-9.98E+01,278.148,4.00E+01
12,12,-8.87E+01,-8.89E+01,274.176,-1.02E+02,93.925,4.00E+01
15,12,-9.32E+01,-9.34E+01,126.256,-1.07E+02,305.179,4.00E+01
18,12,-9.63E+01,-9.65E+01,316.872,-1.10E+02,134.044,3.99E+01
21,12,-1.01E+02,-1.01E+02,168.598,-1.15E+02,343.815,3.56E+01
24,12,-1.04E+02,-1.04E+02,20.976,-1.19E+02,197.477,3.91E+01
27,12,-1.05E+02,-1.05E+02,244.389,-1.19E+02,66.147,4.00E+01
30,12,-1.05E+02,-1.05E+02,93.014,-1.19E+02,277.317,3.65E+01
33,12,-1.05E+02,-1.05E+02,293.951,-1.19E+02,114.233,4.00E+01
36,12,-1.08E+02,-1.08E+02,136.279,-1.21E+02,313.453,3.95E+01
39,12,-1.12E+02,-1.12E+02,353.77,-1.26E+02,161.743,2.82E+01
42,12,-1.12E+02,-1.13E+02,237.526,-1.28E+02,55.385,4.00E+01
45,12,-1.11E+02,-1.11E+02,98.315,-1.25E+02,284.326,3.34E+01
48,12,-1.13E+02,-1.13E+02,309.705,-1.26E+02,122.053,3.07E+01
51,12,-1.16E+02,-1.16E+02,202.484,-1.31E+02,1.153,2.36E+01
54,12,-1.15E+02,-1.15E+02,82.14,-1.29E+02,271.205,3.02E+01
57,12,-1.17E+02,-1.18E+02,304.956,-1.30E+02,114.015,2.69E+01
60,12,-1.17E+02,-1.17E+02,219.867,-1.33E+02,20.673,2.61E+01
63,12,-1.18E+02,-1.18E+02,94.545,-1.29E+02,278.324,3.52E+01
66,12,-1.21E+02,-1.21E+02,19.053,-1.38E+02,179.067,2.68E+01
