Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
174,6,-1.14E+02,-1.14E+02,273.201,-1.34E+02,272.508,4.00E+01
177,6,-1.16E+02,-1.16E+02,74.266,-1.36E+02,73.962,4.00E+01
180,6,-1.12E+02,-1.12E+02,271.46,-1.32E+02,271.462,4.00E+01
0,9,-7.53E+01,-7.54E+01,350.356,-9.14E+01,170.356,4.00E+01
3,9,-8.89E+01,-8.90E+01,22.386,-1.05E+02,202.741,4.00E+01
6,9,-9.80E+01,-9.81E+01,11.03,-1.14E+02,187.207,4.00E+01
9,9,-9.21E+01,-9.22E+01,290.604,-1.08E+02,111.645,4.00E+01
12,9,-9.28E+01,-9.29E+01,167.537,-1.09E+02,348.915,4.00E+01
15,9,-9.52E+01,-9.53E+01,31.386,-1.11E+02,212.29,4.00E+01
18,9,-9.79E+01,-9.81E+01,249.666,-1.14E+02,69.525,4.00E+01
21,9,-1.01E+02,-1.01E+02,103.422,-1.17E+02,281.202,4.00E+01
24,9,-1.03E+02,-1.03E+02,312.477,-1.19E+02,129.742,4.00E+01
27,9,-1.05E+02,-1.05E+02,157.237,-1.21E+02,335.08,4.00E+01
30,9,-1.06E+02,-1.06E+02,356.651,-1.23E+02,176.225,4.00E+01
33,9,-1.07E+02,-1.07E+02,192.345,-1.24E+02,14.736,4.00E+01
36,9,-1.08E+02,-1.08E+02,24.286,-1.24E+02,209.326,3.77E+01
39,9,-1.09E+02,-1.09E+02,212.078,-1.25E+02,39.476,3.41E+01
42,9,-1.09E+02,-1.09E+02,36.856,-1.25E+02,225.854,3.21E+01
45,9,-1.10E+02,-1.10E+02,221.059,-1.25E+02,50.52,3.12E+01
48,9,-1.11E+02,-1.11E+02,41.796,-1.26E+02,231.645,3.04E+01
51,9,-1.12E+02,-1.12E+02,221.574,-1.26E+02,51.156,3.02E+01
54,9,-1.13E+02,-1.13E+02,39.843,-1.27E+02,228.246,3.09E+01
57,9,-1.14E+02,-1.15E+02,217.052,-1.28E+02,44.585,3.15E+01
60,9,-1.16E+02,-1.16E+02,33.289,-1.29E+02,220.032,3.21E+01
63,9,-1.18E+02,-1.18E+02,209.623,-1.31E+02,34.608,3.46E+01
66,9,-1.21E+02,-1.21E+02,26.488,-1.34E+02,211.502,3.49E+01
69,9,-1.23E+02,-1.23E+02,202.708,-1.37E+02,35.892,2.71E+01
72,9,-1.26E+02,-1.26E+02,18.033,-1.40E+02,233.045,1.92E+01
75,9,-1.29E+02,-1.29E+02,190.656,-1.41E+02,81.742,1.18E+01
78,9,-1.30E+02,-1.31E+02,347.333,-1.38E+02,263.867,6.73E+00
81,9,-1.30E+02,-1.31E+02,130.083,-1.37E+02,68.463,7.71E+00
84,9,-1.27E+02,-1.28E+02,283.408,-1.36E+02,225.618,1.06E+01
87,9,-1.24E+02,-1.25E+02,90.47,-1.36E+02,19.434,1.23E+01
90,9,-1.22E+02,-1.22E+02,265.662,-1.35E+02,172.884,1.32E+01
93,9,-1.20E+02,-1.20E+02,87.176,-1.34E+02,338.326,1.43E+01
96,9,-1.19E+02,-1.19E+02,272.514,-1.33E+02,167.749,1.45E+01
99,9,-1.17E+02,-1.17E+02,96.019,-1.30E+02,12.526,1.23E+01
102,9,-1.16E+02,-1.16E+02,275.271,-1.26E+02,208.322,1.01E+01
105,9,-1.16E+02,-1.17E+02,94.511,-1.24E+02,42.324,1.02E+01
108,9,-1.17E+02,-1.17E+02,279.552,-1.25E+02,245.649,1.35E+01
111,9,-1.17E+02,-1.17E+02,106.707,-1.25E+02,97.744,2.56E+01
114,9,-1.16E+02,-1.16E+02,286.435,-1.27E+02,301.507,2.29E+01
117,9,-1.17E+02,-1.17E+02,97.806,-1.33E+02,125.219,2.34E+01
120,9,-1.18E+02,-1.18E+02,276.261,-1.40E+02,239.186,2.68E+01
123,9,-1.18E+02,-1.19E+02,107.253,-1.35E+02,67.996,2.02E+01
126,9,-1.18E+02,-1.18E+02,281.718,-1.31E+02,265.162,2.42E+01
129,9,-1.18E+02,-1.18E+02,82.818,-1.32E+02,79.973,4.00E+01
132,9,-1.18E+02,-1.18E+02,267.202,-1.35E+02,259.474,3.44E+01
135,9,-1.18E+02,-1.18E+02,102.333,-1.33E+02,97.641,3.77E+01
138,9,-1.18E+02,-1.18E+02,263.041,-1.33E+02,265.516,4.00E+01
141,9,-1.18E+02,-1.18E+02,70.658,-1.35E+02,70.425,4.00E+01
144,9,-1.17E+02,-1.17E+02,273.576,-1.33E+02,267.013,3.53E+01
147,9,-1.18E+02,-1.18E+02,78.977,-1.33E+02,74.289,3.70E+01
150,9,-1.17E+02,-1.17E+02,245.118,-1.34E+02,242.266,4.00E+01
153,9,-1.16E+02,-1.16E+02,91.629,-1.33E+02,85.048,3.62E+01
156,9,-1.17E+02,-1.17E+02,250.349,-1.34E+02,245.021,3.73E+01
159,9,-1.16E+02,-1.17E+02,75.222,-1.34E+02,69.256,3.73E+01
162,9,-1.15E+02,-1.15E+02,270.771,-1.32E+02,266.261,3.91E+01
165,9,-1.17E+02,-1.17E+02,58.745,-1.34E+02,51.172,3.47E+01
168,9,-1.14E+02,-1.14E+02,276.762,-1.31E+02,274.414,4.00E+01
171,9,-1.17E+02,-1.17E+02,66.588,-1.33E+02,63.125,4.00E+01
174,9,-1.14E+02,-1.14E+02,273.098,-1.30E+02,272.365,4.00E+01
177,9,-1.16E+02,-1.16E+02,74.208,-1.32E+02,73.872,4.00E+01
180,9,-1.12E+02,-1.12E+02,271.46,-1.28E+02,271.461,4.00E+01
0,12,-7.53E+01,-7.55E+01,350.356,-8.89E+01,170.356,4.00E+01
3,12,-8.86E+01,-8.88E+01,21.101,-1.02E+02,201.471,4.00E+01
6,12,-9.85E+01,-9.87E+01,14.974,-1.13E+02,191,3.74E+01
9,12,-9.19E+01,-9.20E+01,293.457,-1.06E+02,114.543,4.00E+01
12,12,-9.26E+01,-9.28E+01,170.011,-1.06E+02,351.302,4.00E+01
15,12,-9.52E+01,-9.54E+01,34.573,-1.09E+02,215.299,4.00E+01
18,12,-9.83E+01,-9.85E+01,254.501,-1.12E+02,74.073,4.00E+01
21,12,-1.01E+02,-1.02E+02,111.653,-1.15E+02,289.172,4.00E+01
24,12,-1.04E+02,-1.04E+02,325.109,-1.17E+02,142.692,4.00E+01
27,12,-1.05E+02,-1.05E+02,173.119,-1.19E+02,352.354,4.00E+01
30,12,-1.06E+02,-1.06E+02,14.483,-1.20E+02,196.111,4.00E+01
33,12,-1.07E+02,-1.07E+02,210.572,-1.21E+02,34.546,3.73E+01
36,12,-1.07E+02,-1.07E+02,42.013,-1.21E+02,227.552,3.41E+01
39,12,-1.08E+02,-1.08E+02,228.936,-1.21E+02,55.409,3.25E+01
42,12,-1.09E+02,-1.09E+02,53.174,-1.22E+02,240.133,3.15E+01
45,12,-1.10E+02,-1.10E+02,236.696,-1.22E+02,63.036,3.20E+01
48,12,-1.11E+02,-1.11E+02,57.46,-1.23E+02,243.139,3.26E+01
51,12,-1.12E+02,-1.12E+02,237.432,-1.24E+02,61.906,3.43E+01
54,12,-1.13E+02,-1.14E+02,56.514,-1.25E+02,238.713,4.00E+01
57,12,-1.15E+02,-1.15E+02,235.175,-1.26E+02,55.292,4.00E+01
60,12,-1.17E+02,-1.17E+02,53.922,-1.28E+02,231.973,4.00E+01
63,12,-1.19E+02,-1.20E+02,234.622,-1.31E+02,49.05,3.22E+01
66,12,-1.22E+02,-1.22E+02,57.126,-1.35E+02,234.328,3.93E+01
69,12,-1.24E+02,-1.25E+02,240.807,-1.37E+02,75.349,2.52E+01
72,12,-1.27E+02,-1.27E+02,65.685,-1.38E+02,278.406,1.64E+01
75,12,-1.29E+02,-1.30E+02,245.14,-1.36E+02,110.278,1.02E+01
78,12,-1.31E+02,-1.34E+02,54.825,-1.34E+02,281.508,7.30E+00
81,12,-1.34E+02,-1.42E+02,184.444,-1.35E+02,82.079,7.90E+00
84,12,-1.33E+02,-1.36E+02,283.983,-1.37E+02,234.504,6.88E+00
87,12,-1.30E+02,-1.30E+02,87.451,-1.40E+02,9.636,9.87E+00
90,12,-1.27E+02,-1.28E+02,264.223,-1.37E+02,144.93,1.13E+01
93,12,-1.25E+02,-1.26E+02,89.507,-1.35E+02,310.965,1.31E+01
96,12,-1.24E+02,-1.24E+02,273.813,-1.35E+02,149.858,1.22E+01
99,12,-1.22E+02,-1.22E+02,89.054,-1.31E+02,12.149,8.79E+00
102,12,-1.20E+02,-1.21E+02,258.683,-1.27E+02,209.334,9.12E+00
105,12,-1.19E+02,-1.20E+02,72.214,-1.26E+02,38.758,1.26E+01
108,12,-1.20E+02,-1.20E+02,257.308,-1.29E+02,237.635,1.96E+01
111,12,-1.19E+02,-1.19E+02,89.046,-1.32E+02,85.494,3.70E+01
114,12,-1.18E+02,-1.18E+02,271.786,-1.30E+02,260.021,2.69E+01
117,12,-1.17E+02,-1.18E+02,85.074,-1.28E+02,66.045,2.11E+01
120,12,-1.19E+02,-1.19E+02,266.137,-1.30E+02,260.371,3.16E+01
123,12,-1.19E+02,-1.19E+02,100.897,-1.32E+02,120.133,2.29E+01
126,12,-1.19E+02,-1.19E+02,278.007,-1.36E+02,281.272,4.00E+01
129,12,-1.19E+02,-1.19E+02,76.801,-1.31E+02,42.413,1.73E+01
132,12,-1.19E+02,-1.20E+02,260.174,-1.30E+02,245.499,2.32E+01
135,12,-1.18E+02,-1.18E+02,98.015,-1.30E+02,106.503,2.90E+01
138,12,-1.18E+02,-1.19E+02,261.501,-1.33E+02,264.931,3.93E+01
141,12,-1.19E+02,-1.19E+02,67.479,-1.33E+02,59.822,3.13E+01
144,12,-1.17E+02,-1.18E+02,270.72,-1.31E+02,269.589,4.00E+01
147,12,-1.18E+02,-1.18E+02,78.545,-1.31E+02,73.63,3.49E+01
150,12,-1.18E+02,-1.18E+02,242.616,-1.32E+02,238.885,3.81E+01
153,12,-1.16E+02,-1.16E+02,88.721,-1.31E+02,84.743,3.81E+01
